,Unit,Model,Serial,LastSMR
580, ,WA600-6,60869,2019-12-09 01:07:00
581,E356 ,WA600-6,60873,2019-12-31 11:14:00
582,EMC-515 ,WA600-6,60886,2020-02-13 07:24:00
583, ,WA600-6,60887,2020-01-22 01:04:00
584, ,WA600-6,60892,2020-02-13 11:08:00
585,Unit # 002-319 ,WA600-6,60904,2012-12-25 03:38:00
586,916 ,WA600-6,60906,2019-12-21 11:15:00
587,362 ,WA600-6,60908,2020-01-24 07:53:00
588, ,WA600-6,60924,2019-10-21 01:06:00
589, ,WA600-6,60979,2020-02-13 08:14:00
590,FMC811 ,WA600-6,60998,2020-02-14 01:33:00
591,349 ,WA600-6,61003,2019-10-28 11:21:00
592, ,WA600-6,61073,2020-02-05 11:29:00
593, ,WA600-6,61077,2020-02-15 06:23:00
594,YLD-04 ,WA600-6,60273,2007-04-10 04:05:00
595,Unit # 224-401 ,WA600-6,60277,2019-11-04 09:49:00
596,MLDR-04 ,WA600-6,60326,2019-12-25 06:30:00
597, ,WA600-6,60331,2013-02-20 03:26:00
598,WL-8 ,WA600-6,60363,2020-01-31 06:05:00
599,6523 ,WA600-6,60413,2020-02-13 08:44:00
600,03126 ,WA600-6,60418,2020-01-27 12:28:00
601,6522 ,WA600-6,60437,2020-02-13 07:01:00
602,TD47 ,WA600-6,60440,2019-10-22 03:02:00
603, ,WA600-6,60441,2020-02-12 09:14:00
604, ,WA600-6,60446,2020-02-10 02:57:00
605, ,WA600-6,60468,2017-09-04 08:51:00
606,6524 ,WA600-6,60471,2020-02-15 06:30:00
607,360 ,WA600-6,60480,2010-08-09 01:46:00
608,2318 ,WA600-6,60494,2018-11-20 12:59:00
609,2207305 ,WA600-6,60512,2014-08-20 08:25:00
610, ,WA600-6,60519,2009-03-25 08:25:00
611, ,WA600-6,60543,2019-11-29 01:27:00
612, ,WA600-6,60551,2019-11-26 11:39:00
613,Unit 1045 ,WA600-6,60599,2020-02-15 11:35:00
614, ,WA600-6,60600,2019-11-06 09:08:00
615, ,WA600-6,60645,2020-02-11 11:41:00
616,WA600-1 ,WA600-6,60646,2020-02-12 04:43:00
617,2829883 ,WA600-6,60658,2019-11-26 11:45:00
618, ,WA600-6,60659,2018-09-25 02:12:00
619, ,WA600-6,60661,2020-02-15 10:57:00
620, ,WA600-6,60675,2020-02-15 02:03:00
621, ,WA600-6,60677,2020-02-15 08:17:00
622, ,WA600-6,60679,2020-02-15 06:11:00
623, ,WA600-6,60697,2019-12-09 03:20:00
624, ,WA600-6,60719,2018-01-02 12:01:00
625, ,WA600-6,60722,2019-10-07 10:45:00
626,6525 ,WA600-6,60777,2019-12-09 06:54:00
627,6526 ,WA600-6,60779,2017-08-08 12:28:00
628, ,WA600-8,80133,2020-02-11 07:58:00
629, ,WA600-8,80152,2020-02-12 12:54:00
630, ,WA600-8,80153,2019-12-09 10:09:00
631, ,WA600-8,80154,2020-02-13 08:03:00
632, ,WA600-8,80189,2019-11-30 12:29:00
633,Unit # 007-507 ,WA600-8,80191,2019-11-08 09:47:00
634,LAD12 ,WA600-8,80196,2020-02-15 11:20:00
635, ,WA600-8,80202,2019-11-22 05:24:00
636, ,WA600-8,80218,2020-02-14 01:22:00
637, ,WA600-8,80227,2020-02-14 02:07:00
638, ,WA600-8,80234,2020-02-12 05:13:00
639,UNIT L54 ,WA600-8,80047,2020-02-13 05:08:00
640, ,WA600-8,80064,2020-02-13 12:08:00
641,RT214 ,WA800-3E0,70026,2020-01-16 07:28:00
642,LDR524 ,WA800-3E0,70027,2020-02-15 03:15:00
643,4141 ,WA800-3E0,70063,2020-02-12 05:54:00
644,LFP904 ,WA900-3E0,60213,2019-12-23 10:04:00
645,LFP903 ,WA900-3E0,60232,2020-02-16 05:46:00
646,LO-003 ,WA900-3E0,60250,2020-02-16 12:58:00
647,LO-004 ,WA900-3E0,60254,2019-04-25 06:20:00
648,L15 ,WA900-3E0,60255,2020-02-14 03:23:00
649,LFP905 ,WA900-3E0,60266,2020-02-12 07:02:00
650,503 ,WA900-3E0,60308,2020-02-16 01:31:00
651,LR304 ,WA900-3E0,60032,2020-02-11 05:48:00
652,LDR610 Elkview ,WA900-3E0,60091,2020-02-11 11:14:00
653,LDR106  CM ,WA900-3E0,60098,2020-02-15 09:12:00
654,LFP902 ,WA900-3E0,60104,2020-02-16 04:59:00
655,501 ,WA900-3E0,60115,2020-02-16 05:48:00
656,LDR407 LC ,WA900-3E0,60134,2019-08-03 02:36:00
657, ,WA900-3E0,60166,2020-02-14 02:35:00
658,351 ,WA900-3E0,60179,2020-02-14 01:27:00
659,LO-002 ,WA900-3E0,60207,2020-02-05 12:16:00
660,TC-807 ,830E-1AC,A40985,2020-02-08 11:46:00
661,TC-808 ,830E-1AC,A40986,2020-02-16 12:00:00
662,208 ,830E-1AC,A40993,2019-10-31 04:13:00
663,209 ,830E-1AC,A40994,2020-02-14 06:05:00
664,210 ,830E-1AC,A40996,2020-02-06 06:50:00
665,TC-809 ,830E-1AC,A40997,2020-02-15 06:53:00
666,TC-810 ,830E-1AC,A40998,2020-01-27 11:17:00
667,TC-811 ,830E-1AC,A41002,2020-01-08 02:17:00
668,TC-812 ,830E-1AC,A41003,2020-01-31 03:19:00
669,HT1291 ,830E-1AC,A41029,2020-02-12 03:42:00
670,HT1292 ,830E-1AC,A41030,2020-02-16 12:00:00
671,TC-813 ,830E-1AC,A41031,2020-02-04 12:12:00
672,TC-814 ,830E-1AC,A41032,2020-02-02 02:01:00
673,TC-815 ,830E-1AC,A41033,2020-02-08 05:03:00
674,ET801 ,830E-1AC,A41034,2020-02-16 05:08:00
675,ET802 ,830E-1AC,A41036,2020-02-15 06:23:00
676,ET803 ,830E-1AC,A41037,2020-02-16 07:56:00
677,ET804 ,830E-1AC,A41038,2020-02-16 06:17:00
678,ET805 ,830E-1AC,A41039,2020-02-12 05:19:00
679,ET806 ,830E-1AC,A41040,2020-02-16 11:45:00
680,1358 ,830E-1AC,A30522,2014-11-25 12:00:00
681,216 ,830E-1AC,A30534,2020-01-20 02:25:00
682,HT213 (LCO) ,830E-1AC,A30540,2017-09-13 10:08:00
683,HT214 (LCO) ,830E-1AC,A30541,2017-07-18 11:15:00
684,HTA08 ,830E-1AC,A30542,2020-02-16 01:33:00
685,HTA10 ,830E-1AC,A30543,2019-03-22 03:13:00
686,HTA09 ,830E-1AC,A30552,2018-04-03 02:00:00
687,HTA11 ,830E-1AC,A30558,2020-02-16 02:00:00
688,HTA14 ,830E-1AC,A30559,2020-02-16 02:48:00
689,HTA12 ,830E-1AC,A30560,2020-02-15 01:46:00
690,1349 ,830E-1AC,A30418,2014-10-21 03:46:00
691,1350 ,830E-1AC,A30419,2020-02-16 12:00:00
692,HT144 Cardinal River ,830E-1AC,A30420,2020-01-09 09:00:00
693,HTA04 ,830E-1AC,A30439,2020-02-16 12:00:00
694,HTA05 ,830E-1AC,A30440,2020-02-16 01:00:00
695,HTA06 ,830E-1AC,A30441,2019-06-14 01:00:00
696,HT145 Cardinal River ,830E-1AC,A30443,2018-03-22 05:08:00
697,HTA07 ,830E-1AC,A30451,2020-02-16 01:00:00
698,1353 ,830E-1AC,A30459,2019-11-09 10:14:00
699,1354 ,830E-1AC,A30460,2020-02-16 12:00:00
700,HT146 Cardinal River ,830E-1AC,A30496,2020-02-16 12:00:00
701,HT147 Cardinal River ,830E-1AC,A30497,2020-01-17 04:27:00
702,1355 ,830E-1AC,A30503,2014-10-21 09:31:00
703,1356 ,830E-1AC,A30504,2019-11-08 12:30:00
704,215 ,830E-1AC,A30761,2020-02-14 07:19:00
705,HT215 (LCO) ,830E-1AC,A30780,2018-12-19 04:40:00
706,HTA26 ,830E-1AC,A30791,2020-02-11 12:43:00
707,HTA27 ,830E-1AC,A30792,2020-02-16 02:00:00
708,HTA28 ,830E-1AC,A30793,2019-05-10 04:55:00
709,HT148 Cardinal River ,830E-1AC,A30795,2020-02-12 06:23:00
710,217 ,830E-5,A50005,2020-02-16 12:08:00
711,218 ,830E-5,A50009,2020-02-16 10:32:00
712,219 ,830E-5,A50010,2020-01-20 05:56:00
713,220 ,830E-5,A50011,2019-11-10 11:05:00
714,221 ,830E-5,A50012,2019-12-26 05:55:00
715,HT1341 ,830E-5,A50013,2020-02-16 10:32:00
716,HT1342 ,830E-5,A50014,2020-02-16 11:50:00
717,HT1343 ,830E-5,A50015,2020-02-16 10:03:00
718,ET807 ,830E-5,A50016,2020-02-16 05:32:00
719,HT1344 ,830E-5,A50019,2019-06-12 10:45:00
720,ET808 ,830E-5,A50022,2020-02-13 12:00:00
721,ET809 ,830E-5,A50024,2020-02-16 05:13:00
722,222 ,830E-5,A50030,2019-09-30 04:49:00
723,223 ,830E-5,A50031,2020-02-09 07:17:00
724,224 ,830E-5,A50032,2020-02-15 09:26:00
725,225 ,830E-5,A50043,2020-01-26 09:41:00
726, ,830E-5,A50057,2019-09-05 11:01:00
727,HA566 ,830E-5,A50058,2020-02-16 07:27:00
728,HA567 ,830E-5,A50062,2020-02-16 09:24:00
729,HA563 ,830E-5,A50063,2020-02-16 11:25:00
730,HA564 ,830E-5,A50064,2020-02-16 09:53:00
731,HA565 ,830E-5,A50065,2020-02-16 11:06:00
732,HTA29 ,830E-5,A50066,2020-02-16 08:52:00
733,HTA30 ,830E-5,A50067,2020-02-11 06:29:00
734,HTA31 ,830E-5,A50068,2020-02-16 06:36:00
735,0231 ,930E-3,A30404,2019-08-06 09:27:00
736,HV - 5483 ,930E-3,A30406,2019-11-01 11:11:00
737,MT532 ,930E-3,A30409,2020-02-02 10:34:00
738,MT533 ,930E-3,A30411,2018-04-05 02:33:00
739,MT534 ,930E-3,A30412,2020-02-13 12:29:00
740,MT535 ,930E-4,A30488,2016-12-09 01:11:00
741,0236 ,930E-4,A30489,2016-12-05 12:24:00
742,HT545 Fording River ,930E-4,A30508,2020-02-14 12:21:00
743,MT537 ,930E-4,A30509,2016-06-22 12:00:00
744,HT546 Fording River ,930E-4,A30513,2019-03-21 02:51:00
745,4-101 ,930E-4,A30514,2019-04-12 02:21:00
746,HT547 Fording River ,930E-4,A30541,2019-08-28 02:20:00
747,HT548 Fording River ,930E-4,A30542,2019-10-19 08:59:00
748,MT538 ,930E-4,A30564,2020-02-16 04:55:00
749,4-107 ,930E-4,A30565,2019-01-23 12:14:00
750,HT549 Fording River ,930E-4,A30567,2020-02-16 09:25:00
751,MT539 ,930E-4,A30574,2020-02-16 01:54:00
752,MT540 ,930E-4,A30575,2020-02-16 03:04:00
753,4-108 ,930E-4,A30583,2020-02-16 06:03:00
754,4-109 ,930E-4,A30584,2018-07-11 07:27:00
755,MT541 ,930E-4,A30585,2017-09-27 12:01:00
756,MT542 ,930E-4,A30586,2020-02-16 02:54:00
757,MT543 ,930E-4,A30591,2020-02-16 12:00:00
758,MT544 ,930E-4,A30601,2020-02-16 05:16:00
759,MT545 ,930E-4,A30602,2020-02-16 02:19:00
760,4-110 ,930E-4,A30605,2020-02-16 07:21:00
761,MT546 ,930E-4,A30606,2020-01-25 01:11:00
762,MT547 ,930E-4,A30607,2020-02-15 06:49:00
763,0248 ,930E-4,A30614,2020-02-16 02:00:00
764,0249 ,930E-4,A30615,2020-02-16 05:04:00
765,4-111 ,930E-4,A30629,2020-02-16 12:00:00
766,4-112 ,930E-4,A30631,2018-10-09 12:00:00
767,4-115 ,930E-4,A30634,2020-02-16 09:16:00
768,4-113 ,930E-4,A30635,2017-06-06 12:24:00
769,4-114 ,930E-4,A30636,2018-11-27 03:10:00
770,TKD 2414 ,930E-4,A30652,2017-03-29 12:07:00
771,HT529 Fording River ,930E-4,A30657,2019-09-11 11:38:00
772,HT528 Fording River ,930E-4,A30659,2012-01-05 02:05:00
773,HT527 Fording River ,930E-4,A30684,2020-02-16 12:00:00
774,HT526 Fording River ,930E-4,A30685,2020-02-16 07:07:00
775,HT801 Elkview ,930E-4,A30696,2019-07-04 09:46:00
776,0250 ,930E-4,A30704,2020-02-12 11:15:00
777,0251 ,930E-4,A30705,2020-02-16 08:21:00
778,0252 ,930E-4,A30710,2020-02-16 06:42:00
779,0253 ,930E-4,A30711,2020-02-15 10:58:00
780,HT802 Elkview ,930E-4,A30717,2016-12-12 12:00:00
781,HT803 Elkview ,930E-4,A30718,2020-02-16 01:52:00
782,HT804 Elkview ,930E-4,A30719,2020-02-16 03:44:00
783,0254 ,930E-4,A30736,2019-03-04 12:23:00
784,HT805 Elkview ,930E-4,A30737,2020-02-16 09:22:00
785,HT806 Elkview ,930E-4,A30738,2019-05-14 06:38:00
786,HT525 Fording River ,930E-4,A30742,2018-09-14 08:02:00
787,HT807 Elkview ,930E-4,A30743,2018-08-14 03:36:00
788,HT808 Elkview ,930E-4,A30744,2020-02-14 09:15:00
789,0255 ,930E-4,A30746,2020-02-15 05:34:00
790,0256 ,930E-4,A30747,2016-11-06 01:10:00
791,0257 ,930E-4,A30748,2019-06-06 01:04:00
792,HT524 Fording River ,930E-4,A30750,2020-02-16 12:00:00
793,TKD 2415 ,930E-4,A30757,2020-01-02 05:38:00
794,TKD 2416 ,930E-4,A30758,2018-03-12 02:11:00
795,4-133 ,930E-4,A30762,2019-02-15 12:13:00
796,4-134 ,930E-4,A30763,2019-07-29 03:14:00
797,HT809 Elkview ,930E-4,A30764,2020-02-16 12:00:00
798,MT916 ,930E-4,A30774,2020-02-04 05:00:00
799,HT810 Elkview ,930E-4,A30775,2020-02-16 12:25:00
800,TKD 2417 ,930E-4,A30776,2020-02-16 12:00:00
801,TKD 2418 ,930E-4,A30777,2020-02-15 03:23:00
802,0258 ,930E-4,A30785,2020-02-06 02:11:00
803,0259 ,930E-4,A30787,2020-02-14 04:37:00
804,TKD 2419 ,930E-4,A30788,2020-02-16 03:26:00
805,TKD 2420 ,930E-4,A30790,2020-02-16 01:34:00
806,TKD 2421 ,930E-4,A30792,2020-02-16 10:46:00
807,HT523 Fording river ,930E-4,A30793,2020-02-12 07:14:00
808,HT811 Elkview ,930E-4,A30794,2020-02-16 06:17:00
809,HT812 Elkview ,930E-4,A30795,2020-02-16 12:00:00
810,0260 ,930E-4,A30802,2020-02-15 05:46:00
811,0261 ,930E-4,A30803,2019-09-03 12:00:00
812,TKD 2422 ,930E-4,A30805,2017-01-01 04:17:00
813,TKD 2423 ,930E-4,A30806,2017-04-08 10:51:00
814,HT522 Fording River ,930E-4,A30808,2020-02-16 12:00:00
815,TKD 2424 ,930E-4,A30813,2018-06-24 06:52:00
816,0262 ,930E-4,A30815,2020-02-15 11:45:00
817,0263 ,930E-4,A30816,2020-02-16 08:52:00
818,0264 ,930E-4,A30817,2020-02-16 08:55:00
819,HT572 Fording River ,930E-4,A30818,2019-06-28 12:00:00
820,HT521 Fording River ,930E-4,A30819,2020-02-16 12:00:00
821,HT570 Fording River ,930E-4,A30820,2020-02-14 10:11:00
822,HT571 Fording River ,930E-4,A30822,2020-02-16 04:58:00
823,0265 ,930E-4,A30824,2016-05-01 03:16:00
824,0266 ,930E-4,A30842,2020-02-15 04:08:00
825,0267 ,930E-4,A30847,2020-02-15 06:55:00
826,0268 ,930E-4,A30854,2020-02-08 02:12:00
827,0269 ,930E-4,A30860,2020-01-24 11:03:00
828,0270 ,930E-4,A30863,2020-01-07 09:53:00
829,0271 ,930E-4,A30866,2020-02-16 12:56:00
830,TKD 2425 ,930E-4,A30867,2020-02-16 08:33:00
831,TKD 2426 ,930E-4,A30868,2020-02-16 05:18:00
832,MT914 ,930E-4,A30872,2020-02-16 05:14:00
833,MT915 ,930E-4,A30881,2020-02-16 03:42:00
834,0272 ,930E-4,A30882,2020-01-21 11:02:00
835,0273 ,930E-4,A30883,2020-02-16 01:28:00
836,4-135 ,930E-4,A30884,2020-02-16 05:29:00
837,MT917 ,930E-4,A30886,2020-02-16 09:12:00
838,HT771 Greenhills.. ,930E-4,A30897,2020-02-16 12:12:00
839,HT772 Greenhills ,930E-4,A30898,2020-02-16 12:00:00
840,HT770 Greenhills ,930E-4,A30965,2018-04-21 06:17:00
841,HT573 Fording River ,930E-4,A30966,2020-02-15 10:31:00
842,HT574 Fording River ,930E-4,A30974,2013-12-16 01:26:00
843,HT575 Fording River ,930E-4,A30975,2020-01-08 10:25:00
844,2641 ,930E-4,A30980,2017-11-12 04:15:00
845,HT576 Fording River ,930E-4,A30981,2020-02-16 07:16:00
846,2642 ,930E-4,A30989,2015-08-12 09:53:00
847,HT577 Fording River ,930E-4,A30992,2019-08-11 08:18:00
848,2643 ,930E-4,A30993,2017-10-15 12:00:00
849,2644 ,930E-4,A30994,2017-06-17 06:57:00
850,HT774 Greenhills ,930E-4,A31049,2015-05-23 02:18:00
851,HT776 Greenhills ,930E-4,A31052,2019-02-26 12:57:00
852,HT782 Greenhills ,930E-4,A31061,2020-01-30 11:30:00
853,HT775 Greenhills ,930E-4,A31079,2018-11-02 09:38:00
854,HT773 Greenhills ,930E-4,A31080,2020-02-02 07:54:00
855,HT579 Fording River ,930E-4,A31081,2019-08-09 02:40:00
856,HT783 Greenhills ,930E-4,A31102,2015-09-13 10:26:00
857,HT784 Greenhills ,930E-4,A31103,2017-06-26 12:00:00
858,HT813 Elkview ,930E-4,A31114,2020-02-16 04:25:00
859,HT814 Elkview ,930E-4,A31115,2014-09-28 11:44:00
860,HT816 Elkview ,930E-4,A31118,2014-10-06 08:36:00
861,HT817 Elkview ,930E-4,A31137,2019-01-27 08:13:00
862,HT818 Elkview ,930E-4,A31138,2017-09-18 01:11:00
863,2645 ,930E-4,A31139,2020-02-16 07:01:00
864,2646 ,930E-4,A31140,2017-10-20 12:00:00
865,HT819 Elkview ,930E-4,A31150,2017-04-10 11:41:00
866,HT820 Elkview ,930E-4,A31152,2016-03-10 08:14:00
867,HT777 Greenhills ,930E-4,A31154,2015-11-04 04:27:00
868,HT778 Greenhills ,930E-4,A31156,2017-08-15 04:01:00
869,HT829 Elkview ,930E-4,A31158,2017-01-10 12:03:00
